Original sort order,Names,Acres,Month & Day,Year
600,"Geatzendeaner, Christ'r",100,Oct. 26,1734
601,"Gardiner, Peter",100,April 25,1735
602,"Goodheart, Henry",200,Feb. 2,1737
603,"Garrett, Henry",200,Sept. 5,1737
604,"Griesmer, Casper",50,Nov. 22,1737
605,"Golding, Samuel",100,Dec. 5,1737
606,"Groffe, Joseph",50,March 28,1738
607,"Grace, John",150,May 22,1738
608,"Griffiths, Thomas",200,May 27,1738
609,"Grubb, Henry",150,June 1,1738
610,"Greff, Sebastian",150,July 25,1738
611,"Greff, Sebastian",50,Aug. 21,1738
612,"Gibson, Joseph",100,Aug. 30,1738
613,"Grawsos, John",100,Oct. 28,1738
614,"Growden, Laurence, & others",City lot,Feb. 24,1738-9
615,"Gregory, Richard",50,March 17,1739
616,"Gooker, Ludowyck",100,March 31,1739
617,"Gryzeman, George",100,Dec. 29,1739
618,"Grouse, Geo. Hans",100,Feb. 6,1741
619,"Geyger, Casper",City lot,March 6,1741
620,"Gerhard, Martin",25,April 6,1741
621,"Gibson, Joseph",200,Jan. 13,1742
622,"Grist, Mark",200,Jan. 12,1743
623,"Groose, William",100,June 8,1743
624,"Groul, Mich'l",150,Sept. 27,1743
625,"German, Christian",50,Oct. 3,1743
626,"Gregory, Rich'd,",160,Feb. 22,1743
627,"Groffe, Sebastian",200,March 31,1743
628,"Grevy, John",50,May 17,1743
629,"Geeret, Rudolph",100,Oct. 9,1743
630,"Gerhard, Jacob",200,June 7,1745
631,"Gurtner, Peter",50,Oct. 8,1745
632,"Gochellick, George",100,Oct. 10,1745
633,"Gordon, Mary",Bank lot,Nov. 5,1745
634,"Graaf, Joseph",50,May 16,1746
635,"Gerrard, Jacob",50,Oct. 28,1746
636,"Grove, Joseph",50,May 6,1747
637,"Gleave, Geo., heirs",Lot,May 7,1747
638,"Gregory, Rich'd",150,June 19,1747
639,"Gryher, Casper, & Co.",50,Aug. 12,1747
640,"Graaf, Sebastian",25,Aug. 30,1748
641,"Goodheart, Fred'k",200,Sept. 28,1748
642,"Greaton, Joseph",100,Oct. 5,1748
643,"Garret, Rudolph",100,Nov. 29,1748
644,"Garret, Rudolph",50,Nov. 29,1748
645,"Grenoble, Jacob",100,Jan. 4,1749
646,"Gritten, Barbara",50,Jan. 4,1749
647,"Garver, John",50,Feb. 21,1748-9
648,"Grovose, George",50,Feb. 22,1749
649,"Geery, Adam",25,March 16,1748-9
650,"Garver, John",50,April 6,1748-9
651,"Gery, Jacob",50,March 24,1749
652,"Gotshalk, Nicholas",100,April 25,1749
653,"Greenwalt, Henry",200,June 7,1749
654,"Garrick, Philip",30,June 29,1749
655,"Good, Jacob",25,Oct. 19,1749
656,"Gheist, Henry",50,Dec. 7,1749
657,"Gardner, Peter, & wife",City lot,Jan. 11,1750
658,"Groose, William",25,March 20,1750
659,"Grimm, David",50,May 17,1750
660,"Growse, George",25,Oct. 30,1750
661,"Gottner, George",25,Nov. 28,1750
662,"Garver, John",150,May 8,1751
663,"Gross, Wm.",50,June 11,1751
664,"Gregory, Rich'd",260,Nov. 6,1751
665,"Gehts, Leonard",40,Dec. 23,1751
666,"Gerig, Martin",Lot,Feb. 3,1752
667,"Geerhart, Adam",Lot,Feb. 3,1752
668,"Goodheart, H'y",Lot,Feb. 3,1752
669,"Goodheart, Frederick",Lot,Feb. 3,1752
670,"Gottshalck, Christ'r",Lot,Feb. 3,1752
671,"Grove, John",20,Feb. 22,1753
672,"Gotchlick, Herman",13125,May 7,1755
673,"Gotchlick, Herman",8,May 7,1755
674,"Getchinger, Frederick",City lot,March 3,1760
675,"Graisbury, Joseph",Bank lot,Sept. 27,1760
676,"Grubb, Peter",100,Jan. 15,1761
677,"Gougart, Andrew",100,April 3,1761
678,"Gordon, Patrick",151,April 14,1762
679,"Gordon, Thomas",501.75,Jan. 26,1763
680,"Gerrard, Mary",City lot,March 6,1766
681,"Greene, Peter",City lot,April 1,1766
682,German Lutheran Congregat'n,City lot,April 16,1776
683,"Huffnail, Arn John",100,Jan. 16,1733
684,"Huffnail, Arn John",300,Jan. 16,1733
685,"Hatcliler, Rudolph",250,Jan. 24,1733
686,"Harbin, Jonathan",50,Feb. 5,1733
687,"Harbin, Abraham",100,Feb. 5,1733
688,"Hapman, Burget",100,Feb. 5,1733
689,"High, Samuel",100,Feb. 2,1733
690,"Haveacre, John",200,Feb. 27,1733
691,"Haninger, Mich'l J'no",150,Feb. 28,1733
692,"Hyde, Leonard John",200,March 7,1733
693,"Hunder, Charles",150,March 7,1733
694,"Hilton, Peter",150,March 14,1733
695,"Hock, John",50,March 31,1733
696,"Hassel, Sam'l, & Co.",15,April 6,1733
697,"Hutton, Nehemiah",500,Nov. 10,1733
698,"Hildbeitel, Martin",144,Jan. 17,1734
699,"Hawk, Henry",200,Jan. 17,1734
700,"Hugh, Ellis",212,Jan. 31,1734
701,"Hartzell, Ulrich",200,Feb. 20,1734
702,"Hill, Adam",50,Feb. 22,1734
703,"Hodel, John",100,Feb. 22,1734
704,"Henkel, Rudolph Geo.",150,March 7,1734
705,"Himmel, David",100,March 17,1734
706,"Heithow, Jacob",100,April 1,1734
707,"Humphrey, Robert",150,April 8,1734
708,"Houlton, John",150,April 27,1734
709,"Hill, Jacob",200,May 7,1734
710,"Hopkins, Sam'l",150,May 30,1734
711,"Harben, Jonathan",200,June 3,1734
712,"Hassel, Samuel, & Co.",45,June 28,1734
713,"Huddleston, Jacob",100,July 9,1734
714,"House, George",City lot,July 23,1734
715,"Heygo, Peter",100,Aug. 9,1734
716,"Harpman, H'y",100,Aug. 13,1734
717,"Holder, John",100,Aug. 14,1734
718,"Howlager, Mich'l",150,Aug. 29,1734
719,"Henry, Mich'l",100,Aug. 30,1734
720,"Hammond, Tho's",125,Sept. 2,1734
721,"Hunter, Charles",200,Sept. 3,1734
722,"Hill, Adam",100,Sept. 4,1734
723,"Harp, John",150,Sept. 9,1734
724,"Hess, Jeremiah",100,Sept. 9,1734
725,"Hyple, Paul",100,Sept. 10,1734
726,"Holter, John",100,Sept. 12,1734
727,"Hobaugh, Jacob",100,Sept. 16,1734
728,"Hoan, George",100,Oct. 16,1734
729,"Herger, Gotlieb",100,Oct. 26,1734
730,"Harry, David",100,Nov. 5,1734
731,"Hefiefinger, H'y",150,Dec. 17,1734
732,"Housewisd, Jacob",100,April 12,1735
733,"Hoffman, Burget",150,May 8,1734
734,"Hutton, Joseph",200,June 13,1735
735,"Holtsinger, Geo. Jn'o",100,Oct. 1,1735
736,"Highvie, Peter",100,Oct. 14,1735
737,"Hesse, Henry",100,Dec. 11,1735
738,"Hudson, Wm.",null,Jan. 27,1735-6
739,"Hutton, Thomas",City lot,Feb. 19,1736
740,"Humphreys, Benj.",null,March 9,1735-6
741,"Houser, Martin",50,April 3,1736
742,"Hudson, Wm.",Lot,July 10,1736
743,"House, George",null,July 30,1736
744,"Healier, Wm.",null,Dec. 24,1736
745,"Haaghs, Conrad",150,Jan. 26,1737
746,"Heibert, Morgan",150,April 19,1737
747,"Helfrlgh, Johannes",100,April 28,1737
748,"Harbing, Jonathan",150,Aug. 6,1737
749,"Hitchcock, Nicholas",null,Sept. 2,1737
750,"Haveracre, John",100,Oct. 25,1737
751,"Hartman, Lawrence",100,Nov. 22,1737
752,"Heebner, David",25,Nov. 25,1737
753,"Haabaugh, Andrew",200,March 25,1738
754,"Hill, Jacob",200,March 27,1738
755,"Hutton, Nehemiah",150,May 10,1738
756,"Hough, Ulrich",50,July 14,1738
757,"Holton, John",200,Sept. 7,1733
758,"Hill, Daniel",200,Oct. 3,1738
759,"Hans, Jacob",100,Oct. 10,1738
760,"Ham, Jacob",100,Oct. 10,1738
761,"Halman, Peter",200,Oct. 24,1738
762,"Heim, Fred'k",100,Jan. 7,1739
763,"Herbogh, Yoost",100,Oct. 3,1733
764,"Houlton, Nathaniel",484,Dec. 3,1739
765,"Hyligh, George",200,Dec. 13,1739
766,"Hutton, Nehemiah",50,April 21,1740
767,"Hooghenough, Leonard",70,Aug. 18,1740
768,"Hulber, Sylvester",100,Dec. 4,1740
769,"Hebner, George",100,Feb. 24,1740
770,"Hertzoh, Frederick",100,Jan. 27,1741
771,"Hertzoh, Frederick",40,March 3,1741
772,"Heap, George",100,March 10,1741
773,"Hughes, Wm.",50,April 7,1741
774,"Huy, Ulrich",200113,April 22,1741
775,"Harmer, Adam",200,April 25,1741
776,"Huy, Samuel",50,June 2,1741
777,"Howpe, Nicholas",50,June 4,1741
778,"Hockley, Rich'd",Lot,June 18,1741
779,"Hamilton, Andrew",Lot,Aug. 1,1741
780,"Hockley, Rich'd",126,Oct. 20,1741
781,"Hagenbuch, Andrew",150,Nov. 4,1741
782,"Hoogh, John",250.94,Nov. 4,1741
783,"Hertzoh, Fred'k",60,Dec. 3,1741
784,"Hill, Jacob",25,Feb. 3,1742
785,"Hamilton, Andrew, merch't",282,May 8,1742
786,"Howard, Thomas",Lot,June 22,1742
787,"Huddleston, Jacob",50,July 5,1742
788,"Henton, George",100,Sept. 3,1742
789,"How, Tho's, & wife",132.5,Oct. 19,1742
790,"Hoffman, Jacob",100,Oct. 19,1742
791,"Haak, Andreas",225,Nov. 11,1742
792,"Hopkinson, Thomas",600,Nov. 29,1742
793,"Hotrompf, Tobias",30,Dec. 2,1742
794,"Hotrompf, Tobias",100,Dec. 2,1742
795,"Hockley, Richard",623,Dec. 16,1742
796,"Hommel, Jacob Hans",100,Jan. 19,1743
797,"Hoy, Samuel",50,March 10,1743
798,"Hausworth, Jacob",100,March 14,1743
799,"Huyat, Peter",200,April 5,1743
800,"Heyle, Peter",25,April 14,1743
801,"Huyse, George",30,Sept. 20,1743
802,"Howard, Thomas",City lot,Nov. 7,1743
803,"Hughes, John",50,Nov. 25,1743
804,"Hess, Henry",51,Jan. 2,1744
805,"Hartman, John",50,Jan. 18,1744
806,"Housman, Conrad",50,March 4,1744
807,"Hunt, John",265,April 19,1744
808,"Hertzel, George",50,April 19,1744
809,"Huttenstyne, Jacob",100,May 23,1744
810,"Hild, Teeter",50,Aug. 18,1744
811,"Hilligas, Michael",Lots,Aug. 30,1744
812,"Hilligas, Michael",Lots,Aug. 30,1744
813,"Hill, Rich'd, & I.P. Moore",58120,Sept. 24,1744
814,"Hunter, Charles",50,Oct. 10,1744
815,"Hinds, Robert",Lots,Dec. 24,1744
816,"Hauck, Stephens",150,April 20,1745
817,"Heibner, David",25,Sept. 24,1745
818,"Hock, John",50,Sept. 25,1745
819,"Hirt, John",150,Sept. 30,1745
820,"Hazard, Samuel",Lot,Nov. 1,1745
821,"Hopkinson, Tho's",Lot,Nov. 1,1745
822,"Harline, Michael",100,Dec. 17,1745
823,"Henry, Christian",100,March 29,1746
824,"Hertzog, Fred'k",13,June 3,1746
825,"Harmony, Nicholas",25,Sept. 1,1746
826,"Haghener, Peter",20,May 19,1747
827,"Heninger, Mich'l",25,Sept. 7,1747
828,"Heim, Frederick",50,Sept. 7,1747
829,"Henigher, Michael",25,Sept. 7,1747
830,"Hartline, Michael",25,Sept. 30,1747
831,"Huyer, George",30,Oct. 6,1747
832,"Houseknocht, Christ'n",125,Nov. 4,1747
833,"Hoffard, Christian",25,March 25,1748
834,"House, Geo.",10,March 28,1748
835,"Hart, Geo.",50,March 30,1748
836,"Hester, Daniel",200,March 31,1748
837,"Heim, Frederick",50,Aug. 11,1748
838,"Hardman, George",50,Sept. 2,1748
839,"Hercherarder, John",147,Sept. 28,1748
840,"Heflley, Charles",100,Sept. 30,1748
841,"Hercherarder, John",136.5,Sept. 30,1748
842,"Henry, Christian",100,Oct. 1,1748
843,"Herpster, Mich'l",100,Nov. 2,1748
844,"Heaffender, Geo.",50,Nov. 2,1748
845,"Hess, John",100,Nov. 7,1748
846,"Holton, Nathaniel",100,Nov. 11,1748
847,"Howen, Mich'l",100,Nov. 30,1748
848,"Hingle, Jost",25,Dec. 22,1748
849,"Huy, Ulrich",50,Jan. 4,1749
850,"Homell, Philip",50,Jan. 24,1748-9
851,"Homell, Philip",50,Jan. 24,1748-9
852,"Holder, Joseph",100,Jan. 30,1749
853,"Hower, Jacob",100,Feb. 9,1748-9
854,"Hoof, Valentine",25,Feb. 21,1749
855,"How, Jacob",25,Feb. 23,1749
856,"Heydrick, Baltzer",50,Feb. 21,1749
857,"Hoover, George",25,Feb. 27,1749
858,"Haagelboogh, Andrew",45,March 6,1749
859,"Hartley, Henry",100,April 12,1749
860,"Harrison, Thomas, & others",1000,April 22,1749
861,Haak & Penroe,150,May 31,1749
862,Haak & Kiefer,220,May 31,1749
863,"Hondert, Charles",50,July 10,1749
864,"Hill, John",50,Aug. 2,1749
865,"Haalman, Geo.",50,Sept. 12,1749
866,"Heningher, Conrad",25,Oct. 2,1749
867,"Hurting, Peter",100,Nov. 20,1749
868,"Hess, John, & Co.",200,Nov. 22,1749
869,"Heningher, Conrad",25,Dec. 7,1749
870,"Harmony, Nicholas",5,Dec. 19,1749
871,"Hess, Henry",25,Jan. 28,1750
872,"Hollowbach, Mathew",25,Jan. 31,1750
873,"Henny, Christian",25,March 1,1750
874,"Higler, Christian",40,March 4,1750
875,"Hartly, Anthony",100,March 4,1750
876,"Hughes, Wm.",200,March 4,1750
877,"Herner, H'y",50,March 1,1750
878,"Hower, George",50,April 4,1750
879,"Hower, George",50,April 4,1750
880,"Heimbagh, Mathias",50,May 8,1750
881,"Hoy, Samuel",15,May 10,1750
882,"Hiester, Daniel",50,May 23,1750
883,"Hunter, John",50,June 4,1750
884,"Holl, Peter",25,July 4,1750
885,"Hoom, Fred'k",50,July 26,1750
886,"Hess, John",25,Aug. 4,1750
887,"Harp, Abraham",50,Aug. 13,1750
888,"Hommel, Philip",50,Aug. 20,1750
889,"Hill, John",25,Sept. 14,1750
890,"Hevely, Charles",100,Oct. 11,1750
891,"Herch, Simon",50,Oct. 12,1750
892,"Heily, Peter",50,Nov. 21,1750
893,"Hastings, Samuel",Bank lot,Nov. 27,1750
894,"Henry, Adolph",100,Dec. 7,1750
895,"Harmony, Nicholas",25,Dec. 19,1750
896,"Havery, Mich'l",50,April 25,1751
897,"Hutton, John",25,June 3,1751
898,"Huttlestein, Jacob",100,Sept. 30,1751
899,"High, John",50,Sept. 25,1751
900,"Houseknecht, Christ'n",30,Oct. 9,1751
901,"Himble, David",300,Oct. 23,1751
902,"Hetwig, Frederick",100,Nov. 11,1751
903,"Hunter, Nicholas",50,Nov. 26,1751
904,"Helwig, Frederick",25,Nov. 28,1751
905,"Huttlestein, Wm.",Lot,Feb. 3,1752
906,"Haws, Peter",Lot,Feb. 3,1752
907,"Hein, Simon",15,Feb. 18,1752
908,"Hein, Simon",15,Feb. 18,1752
909,"Hein, Simon",15,Feb. 18,1752
910,"Hartman, John",25,March 3,1752
911,"Hodge, Andrew",null,July 20,1752
912,"Hannum, John",City lot,May 22,1754
913,"Hartrampf, Melchoir",129101,Dec. 7,1754
914,"Heist, Henry",25,March 6,1758
915,"Hockley, Rich'd",Lot,July 6,1758
916,"Holdbrick, Peter",25,Nov. 22,1758
917,"Hammer, James",77.75,Jan. 5,1760
918,"Hockley, Rich'd, Esq.",10,April 22,1760
919,"Hough, Thomas",Bank lot,Sept. 30,1760
920,"Hough, Isaac",100,Nov. 15,1762
921,"Heester, Daniel",143.88,June 4,1765
922,Hospital Square,12,Sept. 12,1765
923,"Harper, Wm.",City lot,March 7,1767
924,"Harpel, Peter",132.5,April 29,1767
925,"Hartzel, Henry",10102,May 14,1767
926,"How, William",72,Sept. 14,1767
927,Hospital Contributions,Lot,Dec. 17,1768
928,"Huth, Philip",15,Oct. 5,1771
929,"Heitle, George",Lot,June 27,1774
930,"Heitle, George",Lot,June 27,1774
931,"Hurst, Timothy, & others",null,Oct. 21,1774
932,"Hare, Robt.",Lots,March 2,1775
933,"Hare, Robt.",Lot,April 19,1775
934,"Hare, Robt.",Lot,April 19,1775
935,"Hare, Robt.",Lot,April 19,1775
936,"Hare, Robt.",Lot,April 19,1775
937,"Hoteman, Christ'n, & others",null,May 22,1776
938,"Hollingsworth, Levi",Lot,Aug. 16,1776
939,"Harrison, Joseph",null,June 26,1784
940,"Hetzel, Ulrich",22,July 1,1784
941,"How, Rich'd, & Mal",5000,April 9,1788
942,"How, Rich'd, & Mal.",Liberty land,April 9,1788
943,"How, Rich'd, & Mal",City lots,April 9,1788
944,"Hunter, Wm. Geo. & others",City lot,Sept. 22,1790
945,"Jones, Robert",150,Jan. 3,1733
946,"Jansen, Derrick",150,Aug. 22,1733
947,"Johnson, John",100,Aug. 16,1734
948,"Ikes, Adam John",150,Sept. 10,1734
949,"Ishman, Abraham",50,Oct. 23,1734
950,"Jones, Robert",40,Aug. 9,1735
951,"Ikes, Adam John",50,May 22,1736
952,"Jones, Burriah",150,July 27,1736
953,"Jones, George",null,July 30,1736
954,"Jones, Burriah",120,Sept. 1,1736
955,"Jones, Hugh",200,Feb. 20,1737
956,"Jones, Robert",200,Feb. 20,1737
957,"Jones, Robert",100,March 25,1733
958,"Jordan, Robert",City lot,June 1,1733
959,"Jack, David",100,Oct. 27,1733
960,"Ingles, James",200.25,July 20,1739
961,"Indehaven, Abraham",132.5,June 22,1742
962,"Iserman, Daniel",60,Aug. 23,1742
963,"Jones, Robt.",51.25,Sept. 3,1742
964,"Jones, Geo.",City lot,Sept. 21,1743
965,"Ingold, Peter",100,Dec. 15,1743
966,"Jerion, Mathias",150,Nov. 7,1744
967,"Johnson, John",150,Dec. 29,1744
968,"Jenkins, Wm.",City lot,April 22,1745
969,"Jackson, Jos., & John",110,June 17,1745
970,"Ienkins, Stephen",City lot,April 22,1746
971,"Inglefritz, Geo. Jn'o",null,June 11,1746
972,"Ironberg, Simon",50,Jan. 27,1747
973,"Isenberg, Simon",50,Oct. 7,1747
974,"Jones, John",150,July 26,1743
975,"Isenberg, Gabriel",200,Sept. 23,1743
976,"Jenardine, Jacob",50,Nov. 9,1743
977,"Immenyzer, Adam",50,March 9,1749
978,"Jones, John",25,March 3,1750
979,"Jordan, Joseph",200,March 4,1756
980,"Joost, John",138,April 24,1756
981,"Ironhill, Simon",10,May 2,1750
982,"Ingles, John",500,June 23,1756
983,"Jones, John",25,June 8,1751
984,"Jones, John",50,July 30,1751
985,"Jones, James, & others",40,Dec. 21,1751
986,"James, Abel",null,July 20,1752
987,"James, Thomas",375,Feb. 22,1754
988,"Jones, Wm., & Edw. Croston",600,Feb. 23,1759
989,"Jacobs, Israel",200,Sept. 29,1762
990,"Jones, Jacob",500,Jan. 24,1761
991,"Jones, Aquilla, & others",City lot,Jan. 4,1764
992,"James, Abel",Bank lot,Oct. 9,1772
993,"Ingles, George",Lot,April 19,1774
994,"James, Abel, & others",500,April 9,1788
995,"Jones, Rees",105,Dec. 5,1815
996,"Jones, Wm.",150,Feb. 13,1830
997,"Kinder, Nicholas",150,March 17,1733
998,"Kinsey, Christian",100,March 17,1733
999,"Kinder, Peter John",100,March 17,1733
1000,"Keller, Bernard",100,March 20,1733
1001,"Kilwine, Philip",300,March 31,1733
1002,"Keller, Jacob",120,Jan. 17,1734
1003,"Kingler, Feltee",150,Jan. 17,1734
1004,"Kemp, Devault",150,Feb. 13,1734
1005,"Kun, Johannes",200,Feb. 25,1734
1006,"Kreezimer, Feltee",150,Feb. 2,1734
1007,"Kurtz, John",100,Feb. 28,1734
1008,"Kendig, Martin",100,March 19,1734
1009,"Kun, Christopher",200,April 17,1734
1010,"Koutz, Mich'l",100,June 15,1734
1011,"Kreisman, Geo.",100,July 25,1734
1012,"Klein, Isaac Jn'o",null,Aug. 17,1734
1013,"Kiefer, Windle",150,Aug. 17,1734
1014,"Kiefer, Peter",50,Aug. 21,1734
1015,"Knight, Peter",100,Sept. 10,1734
1016,"Koohn, Mich'l",150,Sept. 16,1734
1017,"Kline, Isaac Jn'o",134,Dec. 17,1734
1018,"Koon, Sid, & Adam",150,Nov. 17,1734
1019,"Koyle, Mich'l",City lot,Dec. 4,1734
1020,"Kerson, John",100,March 15,1736
1021,"Kinsey, Xtian",50,Nov. 10,1736
1022,"Kolmer, Daniel",150,Dec. 17,1736
1023,"Knepper, Peter Jn'o",200,Jan. 24,1737
1024,"Kohg, John",100,Feb. 17,1737
1025,"Kohg, Conrad",150,Feb. 17,1737
1026,"Keim, Jacob",150,Feb. 15,1737
1027,"Kemp, Hannah",100,Feb. 28,1737
1028,"Kresman, Daniel, & others",492,March 10,1737-8
1029,"Krause, George",100,Aug. 17,1737
1030,"Kegel, Leonard",200,Oct. 11,1737
1031,"Keyme, John",100,Nov. 16,1737
1032,"Kellichner, Mich'l",100,Nov. 23,1737
1033,"Kuhntz, Jacob Hans",100,March 17,1738
1034,"Keller, Jacob",150,May 23,1738
1035,"Knecht, Peter Geo.",100,May 31,1738
1036,"Kuhn, Simon Adam",150,July 17,1738
1037,"Krist, Simon",100,July 14,1738
1038,"Kraus, Michael",100,Oct. 18,1738
1039,"Koughman, David",100,Feb. 23,1739
1040,"Klein, Isaac",150.5,March 31,1739
1041,"Kinton, Thomas",500,July 28,1739
1042,"Kleyn, Adam John",150,April 30,1740
1043,"Kelchner, Mich'l",50,May 3,1740
1044,"Kendig, Martin",100,May 24,1740
1045,"Kaarst, Jacob",City lot,March 6,1741
1046,"Keyler, Philip",40,Aug. 13,1741
1047,"Kaufman, David",175,Dec. 5,1741
1048,"Kogher, Geo.",120,Jan. 31,1742
1049,"Koghebrise, Nicholas",50,Feb. 11,1742
1050,"Klein, Isaac Jn'o",50,Dec. 16,1742
1051,"Kirper, Abraham",24,Jan. 24,1743
1052,"Kirper, Abraham",24,Jan. 24,1743
1053,"Knepper, Peter",150,Dec. 9,1743
1054,"Keplinger, Paul",150,March 8,1743-4
1055,"Keeler, Peter John",100,Oct. 9,1744
1056,"Kruger, Casper",50,Nov. 17,1744
1057,"Kinsey, John, & al.",null,Dec. 24,1744
1058,"Kuhn, Simon Adam",150,March 27,1745
1059,"Korgle, Mich'l Jn'o",150,April 6,1745
1060,"Kirby, Thomas",100,April 25,1745
1061,"Kirkbride, Joseph, et al.",City lot,June 5,1745
1062,"Kilkner, Mathias",150,Nov. 6,1745
1063,"Kreamer, Fred'k",50,Nov. 9,1745
1064,"Kline, Dewalt",50,April 27,1746
1065,"Kieffer, Fred'k",50,Sept. 1,1746
1066,"Kiel, Johannes",50,Oct. 22,1746
1067,"Knepper, Peter",25,Oct. 28,1746
1068,"Knepper, Peter",25,Oct. 28,1746
1069,"Knolb, William",100,Jan. 14,1747
1070,"Kisler, George",50,March 7,1747
1071,"Koch, Peter",35,July 17,1747
1072,"Kline, Dewald",50,Nov. 3,1747
1073,"Keler, Martin",50,May 21,1748
1074,"Kelcher, Mich'l",50,May 27,1743
1075,"Kun, George",200,May 23,1748
1076,"Koon, Simon Adam, & others",100,Aug. 12,1746
1077,"Kilkner, Mathias",25,Sept. 5,1743
1078,"Kern, George",50,Oct. 19,1743
1079,"Krouse, Balthazer",50,Nov. 10,1743
1080,"Kough, Hans",25,Nov. 14,1743
1081,"Krysher, Mich'l",100,Nov. 30,1746
1082,"Kalpach, Philip",50,Jan. 3,1749
1083,"Kreamer, Geo.",50,Feb. 7,1748-9
1084,"Kighley, Mich'l",60,Feb. 13,1749
1085,"Kreamer, Fred'k",25,Feb. 23,1748-9
1086,"Kreamer, Fred'k",25,Feb. 23,1748-9
1087,"Keffer, Mathias",100,March 1,1748-9
1088,"Kargher, Martin",25,March 16,1748-9
1089,"Koontz, Jacob",50,March 29,1749
1090,"Keller, Bernard",50,April 1,1749
1091,"Kline, Adam",50,April 6,1749
1092,"Koon, George",25,April 19,1749
1093,"Kemp, Hannah",50,May 16,1749
1094,"Kittelman, Peter",100,May 26,1749
1095,"Krose, Wm.",50,June 5,1749
1096,"Keilbach, Christp'r",100,Nov. 17,1749
1097,"Knepper, Peter",50,Nov. 22,1749
1098,"Kuntz, Jacob John",125,Nov. 24,1749
1099,"Kersner, Conrad",50,Feb. 20,1750
1100,"Kaufman, Stephen",100,March 6,1750
1101,"Keiser, Christ'pher",25,March 13,1750
1102,"Kline, Daniel",50,March 23,1750
1103,"Keser, Nicholas",15,May 16,1750
1104,"Keepinger, Paul",50,July 12,1750
1105,"Koon, Fred'k",50,July 26,1750
1106,"Kiers, Mathias",50,Aug. 2,1750
1107,"Keim, Felty",50,Aug. 30,1750
1108,"Keim, Felty",50,Aug. 30,1750
1109,"Krowse, John",25,Oct. 30,1750
1110,"Koone, George",30,Nov. 1,1750
1111,"Keplinger, Leonhard",50,April 4,1751
1112,"Kreiger, Casper",25,May 13,1751
1113,"Kinsler, John",50,June 11,1751
1114,"Kutz, Nicholas",50,Aug. 8,1751
1115,"Kaufman, Stephen",50,Oct. 30,1751
1116,"Kern, Jacob",Lot 48,Feb. 3,1752
1117,"Kissinger, Jacob",Lot 48,Feb. 3,1752
1118,"Kissinger, Conrad",Lot 48,Feb. 3,1752
1119,"Kuhn, Simon Adam",48,Feb. 3,1752
1120,"Kissinger, John",48,Feb. 3,1752
1121,"Knoblock, H'y",25,Feb. 3,1752
1122,"Kersner, Durst",80,Feb. 19,1752
1123,"Kelly, Wm.",175,Oct. 12,1754
1124,"Kamly, Conrad",null,April 6,1764
1125,"Kuip, Henry",null,Jan. 5,1769
1126,"Kunfort, Christ'n",53122,March 5,1770
1127,"Kunkle, John",80105,April 7,1770
1128,"Kisler, John",Barrack lot,Dec. 11,1797
1129,"Lesher, Nicholas",60,Feb 5,1733
1130,"Loar, Henry",150,Feb 15,1733
1131,"Lutes, Mich'l",150,Feb 5,1733
1132,"Lesher, Nicholas",100,Feb 27,1733
1133,"Landimscus, Geo.",150,March 14,1733
1134,"Levan, Jacob",100,March 14,1733
1135,"Lawrence, Tho's",300,June 1,1733
1136,"Lee, Anthony",200,Aug 10,1733
1137,"Leman, Christ'n",110,Jan. 8,1734
1138,"Loyan, Isaac",50,Jan. 8,1734
1139,"Linch, John",100,Jan. 17,1734
1140,"Lamb, Hans",150,Feb 7,1734
1141,"Lynck, Jacob",100,March 5,1734
1142,"Landis, Jacob",130,March 19,1734
1143,"Landis, Jacob, Jr.",150,June 11,1734
1144,"Lechan, Francis",50 or 60,June 5,1734
1145,"Levan, Isaac",100,June 5,1734
1146,"Limbach, John",50,July 3,1734
1147,"Leacock, Mary",125,Sept 2,1734
1148,"Lawrence, Thos.",92,Sept 10,1734
1149,"Long, Elias",100,Sept 10,1734
1150,"Layman, Lutwick",100,Sept 10,1734
1151,"Le Bar, Daniel",50,Nov. 2,1734
1152,"Long, Elias",50,Nov. 6,1734
1153,"Le Bar, Philip",100,Nov. 18,1734
1154,"Lawrence, Joshua",5.75,Feb 12,1734-5
1155,"Leondegefe, Philip",100,April 17,1735
1156,"Lederman, Devald",100,May 19,1735
1157,"Lawrenson, Lawrence, & Co.",null,June 25,1735
1158,"Lawrence Thos, & Co.",null,Jan. 13,1735-6
1159,"Longacre, Peter & Andrew",200,July 21,1736
1160,"Lawrence, Tho's, Esq.",25,Jan. 16,1737
1161,"Lutyoyche, Daniel",150,March 20,1737
1162,"Lightfoot, Samuel",200,May 16,1737
1163,"Linepeck, John",50,June 3,1737
1164,"Lawrence, Tho's, Esq.",150,June 23,1737
1165,"Leech, John, & others",500,Aug 16,1737
1166,"Loar, Henry",50,Oct 12,1737
1167,"Lesher, Nicholas",100,Nov. 9,1737
1168,"Lineback, John",60,Jan. 26,1738
1169,"Leibersburger, Geo. Hans",200,March 31,1738
1170,"Levan, Isaac",50,April 19,1738
1171,"Lundy, Rich'd",200,April 29,1738
1172,"Lowns, James",City lot,May 1,1738
1173,"Long, Peter",200,June 27,1738
1174,"Leyby, Fred'k",200,Aug. 16,1738
1175,"Lente, Geo. Hans",200,Oct. 5,1738
1176,"Leydey, Paul",40,Feb. 27,1739
