Publication Year,Author,Author Reconciled,Title,Series,Publisher,Place,Library Collection,Call Number,Notes,Editors,Translator,Contributor,Edition
1922,"Woods, Robert Archey, 1865-1925.","Woods, Robert Archey, 1865-1925",The settlement horizon : a national estimate,,Russell Sage Foundation,New York,University of Illinois at Chicago,,,"Kennedy, Albert J. (Albert Joseph), 1879-1968",,,
1910,"Waddell, Rutherford, 1850-1932.","Waddell, Rutherford, 1850-1932",The fiddles of God : and other essays,,Bible and Book Society,"Wellington, N. Z.",University of Illinois at Chicago,,,,,,2d ed.
1925,,,"The child, the clinic and the court;",,"New Republic, inc.",New York,University of Illinois at Chicago,,""Given at a joint commemoration of the 25th anniversary of the first juvenile court and of the 15th anniversary of the first psychopathic institute, which was held in Chicago in early January, 1925." - Introd. (signed: Jane Addams, chairman, Anniversary committee)""Given at a joint commemoration of the 25th anniversary of the first juvenile court and of the 15th anniversary of the first psychopathic institute, which was held in Chicago in early January, 1925." - Introd. (signed: Jane Addams, chairman, Anniversary committee)""iven at a joint commemoration of the 25th anniversary of the firs","Addams, Jane, 1860-1935.",,,
1890,"Marx, Karl, 1818-1883.","Marx, Karl, 1818-1883.",Capital : a critical analysis of capitalist production,Humboldt library,Humboldt Publishing Co.,New York,University of Illinois at Chicago,,,"Moore, Samuel; Averling, Edward Bibbins, 1851-.; Engels, Friedrich, 1820-1895.",,,
1918,"Pringle, Cyrus Guernsey.","Pringle, Cyrus Guernsey, 1838-1911",The record of a Quaker conscience : Cyrus Pringle's diary,,Macmillan,New York,University of Illinois at Chicago,,,"Jones, Rufus Matthew, 1863-1948",,,
1913,,,"The human way : addresses on race problems at the Southern Sociological Congress, Atlanta, 1913",,Southern Sociological Congress,Nashville,University of Illinois at Chicago,,,"McCulloch, James E. (James Edward), 1873-1939",,,
1915,"Addams, Jane, 1860-1935.","Addams, Jane, 1860-1935.",Women at the Hague : the International Congress of Women and its results,,The Macmillan Company,New York,University of Illinois at Chicago,,,"Balch, Emily Greene, 1867-1961.; Hamilton, Alice, 1869-1970.",,,
1917,"Tagore, Rabindranath, 1861-1941.","Tagore, Rabîndranâth, 1861-1941",Nationalism,,Macmillan and Co.,London,University of Illinois at Chicago,,,,,,
1913,"Henrici, Lois Oldham.","Henrici, Lois Oldham",Representative women : being a little gallery of pen portraits,,The Crafters,"Kansas City, Mo.",University of Illinois at Chicago,,,,,,
1892,"Royce, Josiah, 1855-1916.","Royce, Josiah, 1855-1916.",The spirit of modern philosophy : an essay in the form of lectures,,"Houghton, Mifflin",Boston,University of Illinois at Chicago,,,,,,
1935,,,Why wars must cease,,The Macmillan company,New York,University of Illinois at Chicago,,,"Young, Rose Emmet, 1869-.; Catt, Carrie Chapman, 1859-1947.; Roosevelt, Eleanor, 1884-1962.",,,
1905,"Adler, Felix, 1851-1933.","Adler, Félix, 1851-1933",The religion of duty :,,"McClure, Phillips & Co.",New York,University of Illinois at Chicago,,,"Sprague, Leslie Willis",,,
1931,"Bowden, Robert Douglas, 1889-","Bowden, Robert Douglas, 1889-1955",In defense of tomorrow,,Macmillan Co.,New York,University of Illinois at Chicago,,,,,,
1917,"Parkman, Mary Rosetta, 1875-1941.","Parkman, Mary Rosetta, 1875-1941","Heroines of service : Mary Lyon, Alice Freeman Palmer, Clara Barton, Frances Willard, Julia Ward Howe, Anna Shaw, Mary Antin, Alice C. Fletcher, Mary Slessor of Calabar, Madame Curie, Jane Addams",,Century,New York,University of Illinois at Chicago,,,,,,
1899,"Chapman, John Jay, 1862-1933.","Chapman, John Jay, 1862-1933",Causes and consequences,,C. Scribner's Sons,New York,University of Illinois at Chicago,,"English edition has title: Government and democracy, and other essays.",,,,
1928,"Mead, Lucia True Ames, 1856-1936.","Mead, Lucia True Ames, 1856-1936",Law or war,,"Doubleday, Doran & Co., Inc.","Garden City, N. Y.",University of Illinois at Chicago,,,,,,
1931,"Douglass, Earl L.","Douglass, Earl L. 1888-1972",Prohibition and commonsense,,Alcohol Information Committee,"New York, N. Y.",University of Illinois at Chicago,,,,,,
1928,"Foster, William Trufant, 1879-","Foster, William Trufant, 1879-",The road to plenty,Publications of the Pollak Foundation for Economic Research,Houghton Mifflin Co.,Boston,University of Illinois at Chicago,,,"Catchings, Waddill, 1879-",,,Popular edition.
1904,"Crosby, Ernest Howard, 1856-1907.","Crosby, Ernest Howard, 1856-1907",Tolstoy and his message,,Funk and Wagnall's Co.,New York,University of Illinois at Chicago,,,,,,
1913,"Hobhouse, L. T., 1864-1929","Hobhouse, Leonard Trelawney, 1864-1929",Development and purpose : an essay towards a philosophy of evolution,,Macmillan,London,University of Illinois at Chicago,,,,,,
1930,,,John Dewey : the man and his philosophy ; addresses delivered in New York in celebration of his seventieth birthday.,,Harvard University Press,Cambridge,University of Illinois at Chicago,,,,,,
1923,"Morgan, Conway Lloyd, 1852-1938.","Morgan, Conway Lloyd, 1852-1938.","Emergent evolution : the Gifford lectures, delivered in the University of St. Andrews in the year 1922",Gifford lectures,Henry Holt,New York,University of Illinois at Chicago,,,,,,
1912,"Angell, James Rowland, 1869-1949.","Angell, James Rowland, 1869-1949",Chapters from modern psychology,,"Longmans, Green, and co.",New York etc.,University of Illinois at Chicago,,,,,,
1912,"Ellwood, Charles A., 1873-1946.","Ellwood, Charles A. (Charles Abram), 1873-1946.",Sociology and its psychological aspects,,D. Appleton and Co.,New York,University of Illinois at Chicago,,,,,,
1912,"Eeden, Frederik van, 1860-1932.","Eeden, Frederik van 1860-1932",Happy humanity,,"Doubleday, Page & Co.","Garden City, N.Y.",University of Illinois at Chicago,,,,,,
1895,"Douglas, Eileen.","Douglas, Eileen","Brother Francis, or, Less than the least",Red-hot library,Internaional Headquarters [The Salvation Army,London,University of Illinois at Chicago,,,,,,
1933,"Beard, Charles A., 1874-1948","Beard, Charles Austin, 1874-1948",A century of progress,,Harper & Brothers,New York,University of Illinois at Chicago,,,,,,
1895,JonesM. Katharine,"Jones, M. Katharine","Bibliography of college, social and university settlements",,Allied Printing Trades Council,Philadelphia,University of Illinois at Chicago,,,,,,
1928,"Butler, Josephine E., 1828-1906.","Butler, Josephine Elizabeth Grey, 1828-1906",Josephine E. Butler : an autobiographical memoir,,J.W. Arrowsmith,Bristol,University of Illinois at Chicago,,,"Johnson, George W.; Johnson, Lucy A.",,,"3rd ed., rev. and enl."
1929,"Close, Upton, 1894-1960.","Close, Upton, 1894-1960",Eminent Asians; six great personalities of the new East,,D. Appleton and company,"New York, and London",University of Illinois at Chicago,,,,,,
1923,"Muzumdar, Haridas T.","Muzumdar, Haridas Thakordas.",Gandhi the apostle : his trial and his message,,Universal Publishing Co.,Chicago,University of Illinois at Chicago,,,,,,1st ed.
1913,"Spencer, Anna Garlin, 1851-1931.","Spencer, Anna Garlin, 1851-1931",Woman's share in social culture,,M. Kennerley,New York,University of Illinois at Chicago,,""Author's presentation copy to Jane Addams, with her signed autograph inscription."""Author's presentation copy to Jane Addams, with her signed autograph inscription."""",,,,
1902,"Kovalevskiĭ, M. M., 1851-1916.","Kovalevskiĭ, M. M. (Maksim Maksimovich), 1851-1916",Russian political institutions : the growth and development of these institutions from the beginnings of Russian history to the present time,,The University of Chicago press,Chicago,University of Illinois at Chicago,,,,,,
1894,"Booth, Charles, 1840-1916","Booth, Charles, 1840-1916",The aged poor in England and Wales : condition,,Macmillan and Co.,London,University of Illinois at Chicago,,,,,,
1929,"Barrows, Esther G.","Barrows, Esther G.",Neighbors all : a settlement notebook,,Houghton Mifflin Co.,Boston,University of Illinois at Chicago,,""My life at the South End house."--Pref.""My life at the South End house."--Pref.""y life ",,,,
1895,"Bentzon, Th., 1840-1907","Bentzon, Th., 1840-1907",The condition of woman in the United States : a traveler's notes,,Roberts Brothers,Boston,University of Illinois at Chicago,,,"Alger, Abby Langdon",,,
1931,"Shaw, Clifford R., 1895-1957.","Shaw, Clifford R. (Clifford Robe), 1895-1957",The natural history of a delinquent career,Behavior Research Fund monographs.,University of Chicago Press,"Chicago, Ill.",University of Illinois at Chicago,,,"Moore, Maurice E.",,,
1934,"Tolstoy, Leo, graf, 1828-1910.","Tolstoj, Lev Nikolaevič,  1828-1910",What then must we do?,"Tolstoy, Leo, graf, 1828-1910. Works. 1928,",[Pub.] for the Tolstóy Society [by] Oxford University Press,London,University of Illinois at Chicago,,,"Maude, Aylmer, 1858-1938; Addams, Jane, 1860-1935.",,,Tolstóy centenary ed.
1892,"Thayer, William Roscoe, 1859-1923.","Thayer, William Roscoe, 1859-1923","The dawn of Italian independence : Italy from the Congress of Vienna, 1814, to the fall of Venice, 1849",,Houghton Mifflin Co.,Boston,University of Illinois at Chicago,,,,,,
1928,"Naidu, Sarojini, 1879-1949.","Naidu, Sarojini, 1879-1949",The sceptred flute : songs of India,,"Dodd, Mead",New York,University of Illinois at Chicago,,,,,,
1909,"Woolman, John, 1720-1772.","Woolman, John, 1720-1772",The journal of John Woolman,,Houghton Mifflin,Boston,University of Illinois at Chicago,,,"Whittier, John Greenleaf, 1807-1892",,,
1887,"Toynbee, Arnold, 1852-1883.","Toynbee, Arnold, 1852-1883.","Lectures on the industrial revolution in England : popular addresses, notes and other fragments",,Rivingtons,London,University of Illinois at Chicago,,,"Jowett, Benjamin, 1817-1893",,,2nd ed.
1890,"Crosby, Ernest Howard, 1856-1907.","Crosby, Ernest Howard, 1856-1907",The plea of labor from the standpoint of a Russian peasant,,,Boston,University of Illinois at Chicago,,,,,,
1927,"Fawcett, Millicent Garrett, 1847-1929., Dame","Fawcett, Millicent Garrett, Dame, 1847-1929","Josephine Butler : her work and principles, and their meaning for the twentieth century",,The Association for Moral & Social Hygiene,London,University of Illinois at Chicago,,,"Turner, Ethel Mary, 1891-.",,,
1928,"Lawes, Lewis Edward, 1883-1947.","Lawes, Lewis Edward, 1883-1947",Life and death in Sing Sing,,Doubleday. Doran and Co.,"Garden City, N. Y.",University of Illinois at Chicago,,,,,,
1928,"Strachey, Ray, 1887-1940.","Strachey, Ray, 1887-1940",""The cause"; a short history of the women's movement in Great Britain""The cause"; a short history of the women's movement in Great Britain""he cause"; a short history of the women's movement in Grea""e cause"; a short history of the women's movement"" cause"; a short history of the women's m""cause"; a short history of the wom""ause"; a short history of th""use"; a short history o""se"; a short histor""e"; a short hist"""; a short his""; a short his",,"G. Bell and sons, ltd.",London,University of Illinois at Chicago,,,"Nightingale, Florence, 1820-1910.",,,
1909,"James, William, 1842-1910.","James, William, 1842-1910.",A pluralistic universe; Hibbert Lectures to Manchester College on the present situation in philosophy,"Hibbert lectures (London, England),","Longmans, Green",New York,University of Illinois at Chicago,,,,,,
1929,"Haldeman-Julius, Marcet, 1887-1941.","Haldeman-Julius, Marcet, 1887-1941",Violence,,Simon and Schuster,New York,University of Illinois at Chicago,,,"Haldeman-Julius, Emanuel, 1889-1951",,,
1914,"Wallas, Graham, 1858-1932.","Wallas, Graham, 1858-1932",The great society; a psychological analysis,,Macmillan,New York,University of Illinois at Chicago,,,,,,
1933,"Jackson, J. Hampden, 1907-1966.","Jackson, John Hampden 1907-....","Europe since the war : a sketch of political development, 1918-1932",,"E. P. Dutton & co., inc.",New York,University of Illinois at Chicago,,,,,,
1912,,,Penal servitude,,National Committee on Prison Labor,New York,University of Illinois at Chicago,,""From the personal library of Jane Addams."""From the personal library of Jane Addams."""","Whitin, E. Stagg (Ernest Stagg), 1881-1946",,,
1926,"Older, Fremont, 1856-","Older, Fremont, 1856-1935",My own story,,The Macmillan company,New York,University of Illinois at Chicago,,,,,,
1927,"King, Stoddard, 1889-1933.","King, Stoddard, 1889-1933",Grand right and left,,George H. Doran Company,New York,University of Illinois at Chicago,,""From the personal library of Jane Addams."""From the personal library of Jane Addams."""",,,,
1906,"Severance, Seymour, Caroline M., 1820-1914.","Severance, Caroline M. Seymour, 1820-1914","The mother of clubs, Caroline M. Seymour Severance : an estimate and an appreciation",,Baumgardt Pub. Co.,Los Angeles,University of Illinois at Chicago,,""From the personal library of Jane Addams."""From the personal library of Jane Addams."""","Ruddy, Ella Giles, 1851-1917",,,
1908,"Hunt, Caroline Louisa, 1865-1927.","Hunt, Caroline Louisa, 1865-1927",Home problems : from a new standpoint,,Whitcomb & Barrows,Boston,University of Illinois at Chicago,,""From the personal library of Jane Addams."""From the personal library of Jane Addams."""",,,,
1909,"Barnett, S. A., 1844-1913.","Barnett, S.A. (Samuel Augustus), 1844-1913",Towards social reform,,T. Fisher Unwin,London,University of Illinois at Chicago,,""From the personal library of Jane Addams."""From the personal library of Jane Addams."""","Barnett, S. A., Mrs., 1851-1936",,,
1933,"Wilson, Otto, 1885-","Wilson, Otto, 1885-1942","Fifty years' work with girls, 1883-1933 : a story of the Florence Crittenton homes",,The National Florence Crittenton Mission,"Alexandria, Va.",University of Illinois at Chicago,,""From the personal library of Jane Addams."""From the personal library of Jane Addams."""","Barrett, Robert South",,,
1913,"Taylor, Graham, 1851-1938.","Taylor, Graham, 1851-1938",Religion in social action,,"Dodd, Mead and Co.",New York,University of Illinois at Chicago,,""From the personal library of Jane Addams."""From the personal library of Jane Addams."""","Addams, Jane, 1860-1935.",,,
1929,"Milcke, Florence E.","Milcke, Florence E.",God's white boy.,,Privately printed,New Haven,University of Illinois at Chicago,,""From the personal library of Jane Addams."""From the personal library of Jane Addams."""",,,,
1913,"Neufville, S. de.","Neufville, S. de",Unitas valet!,,Gebr. Knauer,Frankfurt am Main,University of Illinois at Chicago,,""From the personal library of Jane Addams."""From the personal library of Jane Addams."""",,,,
1904,"Hunter, Robert, 1874-1942.","Hunter, Robert, 1874-1942",Poverty,,The Macmillan Co.,New York,University of Illinois at Chicago,,""From the personal library of Jane Addams."""From the personal library of Jane Addams."""",,,,
1899,"Kropotkin, Petr Alekseevich, kni︠a︡zʹ, 1842-1921.","Kropotkin, Pëtr Alekseevič 1842-1921","Fields, factories and workshops",,"Houghton, Mifflin and Co.",Boston,University of Illinois at Chicago,,""From the personal library of Jane Addams."""From the personal library of Jane Addams."""",,,,
1900,"Jones, Samuel Milton, 1846-1904.","Jones, Samuel Milton, 1846-1904",Letters of love and labor,,The Franklin Printing & Engraving Co.,"Toledo, O.",University of Illinois at Chicago,,""From the personal library of Jane Addams."""From the personal library of Jane Addams."""",,,,
1921,"Kalaw, Maximo M., 1891-","Kalaw, Maximo M. (Maximo Manguiat), 1891-",The present government of the Philippines,,[McCullough Print. Co.,Manila,University of Illinois at Chicago,,""From the personal library of Jane Addams."""From the personal library of Jane Addams."""",,,,
1934,"Merriam, Charles Edward, 1874-1953.","Merriam, Charles Edward, 1874-1953",Political power : its composition and incidence,,Whittlesey House,New York,University of Illinois at Chicago,,""From the personal library of Jane Addams."""From the personal library of Jane Addams."""",,,,
1928,"Long, J. C. 1892-","Long, John Cuthbert",Bryan : the Great Commoner,,D. Appleton,New York,University of Illinois at Chicago,,,,,,
1927,"Hobson, Florence Edgar.","Hobson, Florence Edgar.",Verses various,,Selwyn & Blount,London,University of Illinois at Chicago,,""From the personal library of Jane Addams."""From the personal library of Jane Addams."""",,,,
1932,"Brandau, Hermann, 1870-","Brandau, Hermann, 1870-",The great destroyer,,The Carl Schurz Publishing Co.,Chicago,University of Illinois at Chicago,,""From the personal library of Jane Addams."""From the personal library of Jane Addams."""",,,,
1940,"De Nancrede, Edith.","De Nancrede, Edith.",Mother Goose dances,,H. T. FitzSimons Co.,"Chicago, Ill.",University of Illinois at Chicago,,""From the personal library of Jane Addams."""From the personal library of Jane Addams."""","Smith, Gertrude Madeira",,,
1928,"O'Byrne, Cathal.","O'Byrne, Cathal",The grey feet of the wind : poems,,Ard-Ree Press,Chicago,University of Illinois at Chicago,,,,,,
1923,"Addams, Jane, 1860-1935.","Addams, Jane, 1860-1935.",Twenty years at Hull-house : with autobiographical notes,Macmillan's pocket American and English classics,The Macmillan Company,New York,University of Illinois at Chicago,,,,,,
1922,"Lippmann, Walter, 1889-1974.","Lippmann, Walter, 1889-1974.",Public opinion,,"Harcourt, Brace and Co.",New York,University of Illinois at Chicago,,,,,,
1919,,,"Negro migration in 1916-17 / reports by R. H. Leavell, T. R. Snavely, T. J. Woofter, Jr., W. T. B. Williams and Francis D. Tyson ; with an introduction by J. H. Dillard.",,Govt. Print. Off.,Washington,University of Illinois at Chicago,,,"Leavell, R. H.; Snavely, Tipton R. 1890-; Woofter, Jr., T. J., 1893-1972.; Williams, William Taylor Burwell.; 1866-; Tyson, Francis Doughten, 1888-.; Dillard, J. H. 1856-1940.",,,
1902,"LinnJames Weber, 1876-1939","Linn, James Weber, 1876-1939",The second generation,,"The Macmillan Company ; Macmillan & Co., Ltd.",New York : London,University of Illinois at Chicago,,,,,,
1898,"Tolstoy, Leo, graf, 1828-1910.","Tolstoj, Lev Nikolaevič,  1828-1910",The Christian teaching,,Stokes,New York,University of Illinois at Chicago,,,,,,
1909,,,"Proceedings of the Conference on the care of dependent children, held at Washington, D.C., January 25, 26, 1909. Special message of the President of United States recommending legislation desired by the Conference ... and transmitting the proceedings of the Conference. Communicated to the two houses of Congress on February 15, 1909.","[U.S.] 60th Cong., 2d sess. Senate. Doc. 721.",Govt. print. off.,"Washington, U.S.",University of Illinois at Chicago,,,,,,
1923,"Ornitz, Samuel, 1890-1957.","Ornitz, Samuel, 1890-1957","Haunch, paunch and jowel : an anonymous autobiography.",,Boni and Liveright,New York,University of Illinois at Chicago,,,,,,
1896,"HarrisonFrederic, 1831-1923","Harrison, Frederic, 1831-1923",The meaning of history : and other historical pieces,,Macmillan and Co.,New York ; London,University of Illinois at Chicago,,,,,,
1930,"Taylor, Graham, 1851-1938.","Taylor, Graham, 1851-1938",Pioneering on social frontiers,,The University of Chicago Press,"Chicago, Ill.",University of Illinois at Chicago,,,,,,
1932,"Addams, Jane, 1860-1935.","Addams, Jane, 1860-1935.",The excellent becomes the permanent,,The Macmillan company,New York,University of Illinois at Chicago,,,,,,
1930,"Addams, Jane, 1860-1935.","Addams, Jane, 1860-1935.","The second twenty years at Hull-House, September 1909 to September 1929, with a record of a growing world consciousness",,The Macmillan Company,New York,University of Illinois at Chicago,,,,,,
1922,"Goodspeed, Thomas W., 1842-1927.","Goodspeed, Thomas Wakefield, 1842-1927",The University of Chicago biographical sketches,,University of Chicago Press,Chicago,University of Illinois at Chicago,,,,,,
1930,"Staley, Eugene, 1906-1989.","Staley, Eugene, 1906-1989",History of the Illinois State Federation of Labor,"Social science studies (Chicago, Ill.) ;",The University of Chicago Press,"Chicago, Ill.",University of Illinois at Chicago,,,,,,
1905,"Kropotkin, Petr Alekseevich, kni︠a︡zʹ, 1842-1921.","Kropotkin, Pëtr Alekseevič 1842-1921",Russian literature,,"McClure, Phillips",New York,University of Illinois at Chicago,,,,,,
1907,,,"In memoriam John Peter Altgeld : born December 30, 1847, died March 12, 1902.",,"Press of Cameron, Amberg",Chicago,University of Illinois at Chicago,,"Includes the addresses and oration delivered at the memorial service held at the Garrick Theatre, Chicago, Sunday , March 10, 1907.",,,,
1924,"Browne, Waldo R., 1876-1954.","Browne, Waldo R. (Waldo Ralph), 1876-1954",Altgeld of Illinois : a record of his life and work,,B.W. Huebsch,New York,University of Illinois at Chicago,,,,,,
1929,"Merriam, Charles Edward, 1874-1953.","Merriam, Charles Edward, 1874-1953",Chicago : a more intimate view of urban politics,,The Macmillan Co.,New York,University of Illinois at Chicago,,,,,,
1929,"Gallery, Mary Onahan","Gallery, Mary (Onahan)",Life of William J. Onahan : stories of men who made Chicago,,Loyola University Press,Chicago,University of Illinois at Chicago,,,,,,
1895,"Ward, Lydia (Avery) Coonley, 1845-1924.","Ward, Lydia Avery Coonley","Under the pines, and other verses",,Way & Williams,Chicago,University of Illinois at Chicago,,,,,,
1918,PondIrving K. 1857-1939,PondIrving K. 1857-1939,The meaning of architecture : an essay in constructive criticism,,Marshall Jones Company,Boston,University of Illinois at Chicago,,,,,,
1910,,,"Dedicatory exercises at the unveiling of bronze tablets in memory of John P. Altgeld, at the Garrick theatre, Chicago, Sunday, September 4, 1910, under the auspices of the John P. Altgeld Memorial Association of Chicago.",,,Chicago,University of Illinois at Chicago,,,,,,
1907,"Steiner, Edward Alfred, 1866-1956","Steiner, Edward Alfred, 1866-1956",The mediator : a tale of the Old world and the New,,Fleming H. Revell Company,New York ; Chicago ; Toronto ; London ; and Edinburgh,University of Illinois at Chicago,,,,,,
1929,"Kavanagh-Priest, Anne.","Kavanagh-Priest, Anne",Memoirs of a Gothic American,,The Macmillan Co.,New York,University of Illinois at Chicago,,,,,,
1893,"Addams, Jane, 1860-1935.","Addams, Jane, 1860-1935.",Philanthropy and social progress : seven essays,,Thomas Y. Crowell & Company,New York ; Boston,University of Illinois at Chicago,,,"Adams, Henry C. 1851-1921; Woods, Robert Archey, 1865-1925; Huntington, James O. S. 1854-; Giddings, Franklin Henry, 1855-1931; Bosanquet, Bernard, 1848-1923.",,,
1909,"Addams, Jane, 1860-1935.","Addams, Jane, 1860-1935.",The spirit of youth and the city streets,,The Macmillan Co.,New York,University of Illinois at Chicago,,,,,,
1916,"Addams, Jane, 1860-1935.","Addams, Jane, 1860-1935.",The long road of woman's memory,,The Macmillan Co.,New York,University of Illinois at Chicago,,,,,,
1919,"Brailsford, Henry Noel, 1873-1958.","Brailsford, Henry Noel, 1873-1958",Across The Blockade; A Record Of Travels In Enemy Europe.,,"Harcourt, Brace and Howe",New York,Swarthmore Peace Collection,D523.B81.,,,,,
1904,"Sumner, Charles, 1811-1874.","Sumner, Charles, 1811-1874",Addresses On War.,,"Published for the International Union, Ginn & Co.",Boston,Swarthmore Peace Collection,JX1949.S8.,,,,,
[1920],"Brailsford, Henry Noel, 1873-1958.","Brailsford, Henry Noel, 1873-1958",After The Peace.,,L. Parsons,London,Swarthmore Peace Collection,D653.B7.,,,,,
1922,"Brailsford, Henry Noel, 1873-1958.","Brailsford, Henry Noel, 1873-1958",After The Peace.,,T. Seltzer,New York,Swarthmore Peace Collection,D653.B7 1922.,,,,,
1915,"Dickinson, G. Lowes, 1862-1932.","Dickinson, Goldsworthy Lowes, 1862-1932",After The War.,,A.C. Fifield,London,Swarthmore Peace Collection,D610.D5.,,,,,
1927,"Fisher, Herbert Wescott, 1873-.","Fisher, Herbert W.","Alias Uncle Shylock: A Tragi-comedy Of The Two Dromios, Fear, Avarice.",,A & C. Boni,New York,Swarthmore Peace Collection,JX1953.F55.,Gift card: With the compliments of the author Herbert Fisher.,,,,
1929,"Zimmern, Alfred Eckhard, 1879-1957.","Zimmern, Alfred, 1879-1957.","America & Europe, And Other Essays.",,Oxford University Press,New York,Swarthmore Peace Collection,JA41.Z4.,,,,,
1925,"Brooks, Sidney.","Brooks, Sidney, 1892-","America And Germany, 1918-1925.",,MacMillan,New York,Swarthmore Peace Collection,HC286.3.B75.,,,,,
1918,"Ribhany, Abraham Mitrie, 1869-.","Ribhany, Abraham Mitrie, 1869-.",America Save The Near East.,,Beacon,Boston,Swarthmore Peace Collection,DS98.R5.,Inscription: To Miss Jane Addams with highest regards: Abraham Mitrie Rihbany 1918.,,,,
1920,,,"American Foreign Policy, Based Upon Statements Of Presidents And Secretaries Of State Of The United States And Of Publicists Of The American Republics, With An Introduction By Nicholas Murray Butler.",,Carnegie Endowment for International Peace,"Washington, D.C.",Swarthmore Peace Collection,JX1405.C33.,Gift card: With the compliments of the Carnegie Endowment for International Peace.,,,,
1928,"Lippmann, Walter, 1889-1974.","Lippmann, Walter, 1889-1974.",American Inquisitors: A Commentary On Dayton And Chicago.,,The Macmillan Co.,New York,Swarthmore Peace Collection,LB2332.L5.,,,,,
1927,"Douglas, Paul H., 1892-1976.","Douglas, Paul H. (Paul Howard), 1892-1976",The American Occupation Of Haiti.,,Academy of Political Science,New York,Swarthmore Peace Collection,F1926.D7.,,,,,
1924,"Fisher, Irving, 1867-1947.","Fisher, Irving, 1867-1947.",America's Interest In World Peace.,,Funk & Wagnalls,New York and London,Swarthmore Peace Collection,JX1975.F53.,,,,,
1926,"Fisher, Irving, 1867-1947.","Fisher, Irving, 1867-1947.",America's Interest In World Peace.,,Funk & Wagnalls,New York,Swarthmore Peace Collection,JX1975.F53 1926.,,,,,
1924,"Gibbons, Herbert Adams, 1880-1934.","Gibbons, Herbert Adams, 1880-1934",America's Place In The World.,,The Century Co.,New York & London,Swarthmore Peace Collection,E183.7.G43.,,,,,
1929,"Hudson, Manley O., 1886-1960.","Hudson, Manley O. (Manley Ottmer), 1886-1960.",America's Role In The League Of Nations.,,,Baltimore,Swarthmore Peace Collection,JX1975.5.U5 H7.,,,,,
"1911, 1912",,,Annuaire De L'union Interparlementaire.,,Misch & Thron,Bruxelles,Swarthmore Peace Collection,JX1930.L68 1911; JX1930.L68 1912,,,,,
"1920, 1922",,,"Annual Report Of The Director - Division Of Intercourse And Education, Carnegie Endowment For International Peace.",,Carnegie Endowment for International Peace],New York,Swarthmore Peace Collection,JX1906.A45 1920.; JX1906.A45 1922.,,,,,
1918,"Balch, Emily Greene, 1867-1961.","Balch, Emily Greene, 1867-1961.","Approaches To The Great Settlement / With A Bibliography Of Some Of The More Recent Books And Articles Dealing With International Problems, Introduction By Norman Angell [pseud.] Pub. For The American Union Against Militarism.",,B.W. Huebsch,New York,Swarthmore Peace Collection,D613.B3.,,,,,
1916,"Gignilliat, Leigh Robinson, 1875-.","Gignilliat, Leigh Robinson, 1875-.","Arms And The Boy: Military Training In Schools And Colleges, Its Value In Peace And Its Importance In War, With Many Practical Suggestions For The Course Of Training, And With Brief Descriptions Of The Most Successful Systems Now In Operation / By Colonel L.R. Gignilliat... With Introduction By Honorable Newton D. Baker.",,The Bobbs-Merrill Co.,Indianapolis,Swarthmore Peace Collection,JX1997.5.G5.,,,,,
1926,"Mayreder, Rosa Obermayer, 1858-1938.","Mayreder, Rosa, 1858-1938",Askese Und Erotik ... / 1. Und 2. Tausend.,,E. Diederichs,Jena,Swarthmore Peace Collection,HQ61.M3.,,,,,
1926,""Diogenes," [pseud].""Diogenes," [pseud].""iogenes,"""",""Diogenes," [pseud].""Diogenes," [pseud].""iogenes,"""","At The Cross-roads: A Plea For The Ethics Of A Democracy / By "diogenes."""t The Cros",,[The Printing Corporation],"San Francisco, California",Swarthmore Peace Collection,JC433.D5.,Gift card: With compliments of the Author.,,,,
[1914],"Beaven, Murray.","Beaven, Murray.",Austrian Policy Since 1867.,,Oxford Univ. Press,London ; New York,Swarthmore Peace Collection,D639.P7 G7.,,,,,
1915,"Lambert, Henri.","Lambert, Henri.","Un Autre Aspect De La Question EuropÃ©enne Et Une Solution / Par Henri Lambert... Suivi D'une Lettre Ouverte Ã€ M. Woodrow Wilson, PrÃ©sident Des Ã‰tats-unis D'amÃ©rique, Pub. Par Le Nieuwe Rotterdamsche Courant, Le 8 Octobre, 1914.",,"Wightman, Mountain & Andrews",Londres,Swarthmore Peace Collection,D511.L2.,,,,,
1930,"Abdul-BahÃ¡, 1844-1921.","ʿAbduʾl-Bahá, 1844-1921",The BahÃ¡'Ã­ Peace Program.,,BAHÃ'Ã Publishing Committee,New York,Swarthmore Peace Collection,JX1966.A38.,,,,,
1915,"Lee, Vernon, 1856-1935.","Lee, Vernon, 1856-1935.",The Ballet Of The Nations: A Present-day Morality / By Vernon Lee [pseud.] With A Pictorial Commentary By Maxwell Armfield.,,G.P. Putnam's Sons,New York,Swarthmore Peace Collection,JX1964.1.P2.,,,,,
1927,"Binder, Carroll.","Binder, Carroll.",The Behavior Research Fund: A Five Year Inquiry Into Human Conduct; With A Foreword By H.M. Adler.,,Chicago Daily News,Chicago,Swarthmore Peace Collection,BF57.B61.,,,,,
